title,cgross,studio,theaters2,theaters1,opening_gross,release_data
Alone in Berlin,33125,IFC,2,5,8869,1/13/17
Alone in the Dark,5178569,Lions,2124,2124,2834421,1/28/05
Alone with Her,10787,IFC,1,2,5555,1/17/07
Alone Yet Not Alone,887851,S/IMA,11,103,125775,9/27/13
Along Came a Spider,74078174,Par.,2530,2573,16712407,4/6/01
Along Came Polly,88097164,Uni.,2984,3052,27721185,1/16/04
Along the Roadside,1352,Indic.,0,0,965,3/27/15
Along with the Gods: The Last 49 Days,1200246,WGUSA,48,48,311743,8/1/18
Along with the Gods: The Two Worlds,1908823,WGUSA,17,35,185546,12/22/17
Alpha,35546134,Studio 8,2719,2881,10352512,8/17/18
Alpha and Omega,25107267,LGF,2625,2625,9106906,9/17/10
Alpha Dog,15309602,Uni.,1289,1292,6412775,1/12/07
Alphabet City,7035585,Atl,321,321,1172292,5/4/84
The Alphabet Killer,29784,Anch.,1,2,11000,11/7/08
Alphaville (2013 re-release),47696,Rialto,1,2,7298,2/7/14
Alps,16057,KL,2,3,2628,7/13/12
Already Tomorrow in Hong Kong,21206,Grav.,10,11,14966,2/12/16
Altered,0,Rog.,0,0,0,0
Altered Perception,1259,Cdgm.,0,10,0,5/4/18
Altered States,19853892,WB,3,0,174650,12/25/80
Altiplano,2961,FRun,1,1,1269,8/20/10
Alvin and the Chipmunks,217326974,Fox,3475,3499,44307417,12/14/07
Alvin and the Chipmunks: Chipwrecked,133110742,Fox,3723,3734,23244744,12/16/11
Alvin and the Chipmunks: The Road Chip,85886987,Fox,3653,3705,14287159,12/18/15
Alvin and the Chipmunks: The Squeakquel,219614612,Fox,3700,3747,48875415,12/23/09
Always,43858790,Uni.,1016,1206,3713480,12/22/89
Always at the Carlyle,174251,Good Deed,1,23,9239,5/11/18
Always Kabhi Kabhi,21381,Eros,29,29,14570,6/17/11
Always Shine,17102,Osci.,1,15,4211,11/25/16
Amadeus,51564280,Orion,25,802,505276,9/21/84
Amadeus (Director's Cut),408749,WB,18,18,86764,4/5/02
Amanda & Jack Go Glamping,3352,Orion,12,12,3352,11/10/17
Amandla!,405331,Art.,1,16,14181,2/19/03
Amarcord,125493,Jan.,0,2,0,0
The Amateur,6892098,Fox,437,437,1052963,2/12/82
Amateur,757088,SPC,0,0,0,5/19/95
The Amateurs,16334,First,3,4,10149,12/7/07
The Amati Girls,49136,Prov.,97,97,33902,1/19/01
The Amazing Catfish,11342,Strand,1,3,733,6/13/14
An Amazing Couple: Trilogy 2,47806,Magn.,1,2,8572,2/6/04
Amazing Grace,21250683,IDP,791,1162,4054542,2/23/07
Amazing Grace and Chuck,0,TriS,0,0,0,4/10/87
The Amazing Panda Adventure,7506759,WB,1692,1692,2413107,8/25/95
The Amazing Spider-Man,262030663,Sony,4318,4318,62004688,7/3/12
The Amazing Spider-Man 2,202853933,Sony,4324,4324,91608337,5/2/14
The Amazing Spider-Man 3,0,Sony,0,0,0,TBD
The Amazing Spider-Man 4,0,Sony,0,0,0,TBD
The Amazing Truth About Queen Raquela,5597,Reg.,2,2,2700,9/26/08
Amazon Women on the Moon,548696,Uni.,50,50,171723,9/18/87
The Ambassador,28102,Drft.,4,8,13046,8/29/12
Ambassador Bill,0,Fox,0,0,0,11/13/31
Ambrose Bierce: Civil War Stories,22918,ScrL,1,1,4402,9/14/06
Amelia,14245415,FoxS,820,1070,3904047,10/23/09
Amelia 2.0,10233,TriCoast,1,1,7836,8/4/17
Amelie,33225499,Mira.,3,303,136470,11/2/01
Amen,274299,Kino,5,9,16284,1/24/03
America (2014),14444502,LGF,3,1105,38608,6/27/14
America Betrayed,1311,FRun,1,1,245,3/27/09
America the Beautiful,76173,FInd.,1,5,6760,5/9/08
